antiperspirants* ˌæntipərˈspɪrənts
antiperspirant* ˌæntipərˈspɪrənt
decriminalized* diˌkrɪmənəˈlaɪzd
defibrillation* dɪˌfɪbrɪˈleɪʃən
schizophrenics* ˌʃɪzəˈfrɛnɪks
intelligences* ˌɪnˈtɛləʤənz
lindenstrauss* ˈlɪndənstraʊs
mistranslated* mɪstrænzˈleɪtəd
ultraproducts* ˈəltrəˈprɑdəkts
baumeister's* ˈbaʊˌmaɪstərz
canonisation* ˌkænənəˈzeɪʃən
deoxygenated* dɪˈɑksəʤəˌneɪtəd
helicobacter* ˌhɛlɪkoʊˈbæktər
precognition* prikɑgˈnɪʃən
butorfleoge* ˈbutorˌfleoje
bɑrbmarbois* bɑrbmaʁbwa
finasteride* fɪnˈæstəɹaɪd
millennials* mɪˈlɛniəlz
polynomials* ˌpɑˌliˈnoʊmiəlz
thermopylae* θəˈmɒpɪli
vomitoriums* vɑˈmɪtəˌriəmz
wakefield's* ˈweɪkˌfildz
butterflye* ˈbutərfliə
chameleons* 'kəˈmiliənz
goldfish's* ˈgoʊldˌfɪʃɪz
illuminati* ɪˌluməˈnɑti
planchette* plænˈʃɛt
plasticity* ˈplæstɪsɪti
tarpenning* ˈtɑr.pə.nɪŋ
videogames* ˈvɪdioʊˌgeɪmz
beanstalk* binstɔk
dialectal* ˌdaɪəˈlɛktəl
flutterby* ˈflətərbaɪ
ideomotor* ˌaɪdioʊˈmoʊtər
jurvetson* ˈdʒɜrvɪtsən
multidrug* ˈməltidrəg
myoglobin* ˈmaɪoʊˌɡloʊbɪn
pentagram* ˈpɛntəˌɡɹæm
repurpose* riˈpərpəs
symmetric* səˈmɛtrɪk
ulstermen* ˈəlstərmɛn
yousafzai* ˌjusæfˈzaɪ
attemped* əˈtɛmptəd
causally* ˈkɔzəli
disesase* dɪˈziz
flatline* flætlaɪn
matadors* ˈmætəˌdɔrz
mɪd1920s* mɪd-1920s
mɪd1990s* mɪd-1990s
pangolin* ˈpæŋɡəlɪn
polymath* ˈpɑliˌmæθ
rabbit's* ˈræbɪts
spiciest* ˈspaɪsiɪst
swifties* ˈswɪftiz
uncooked* ʌnkʊkt
unicorns* ˈjunɪˌkɔrnz
aniston* ˈænɪstən
bargh's* bɑrɡz
bitcoin* ˈbɪtˌkɔɪn
cloudly* ˈklaʊdi
cognate* ˈkɑɡneɪt
cryptid* ˈkɹɪptɪd
cuddy's* ˈkʌdiz
pandoja* ˌpænˈdoʊhɑ
salieri* ˌsɑliˈɛri
seances* seɪɑnsɪz
taiping* taɪˈpɪŋ
ælqaeda* ɑl-ˈkaɪdə
carlip* kɑrlɪp
crappa* ˈkrappa
creery* ˈkriri
eostre* ˈiəstrə
guappo* ˈɡwapo
libras* ˈlibrɑz
malala* məˈlɑlə
mowgli* ˈmaʊɡli
privet* ˈpɹɪvɪt
quills* kwɪlz
scitte* ˈʃitte
sirius* ˈsɪriəs
1940s* 1940s
1960s* 1960s
1980s* 1980s
2000s* 2000s
2010s* 2010s
afi's* eɪɛfaɪz
anime* ˈænɪmeɪ
bem's* bɛmz
boson* ˈboʊzɑn
carbs* kɑɹbz
dirac* dɪˈræk
ganor* ˈɡænər
hhhhh* \"hɛd hɛd hɛd hɛd hɛd\"
httht* \"hɛd teɪl teɪl hɛd teɪl\"
nauru* ˈnaʊɹu
oujia* ˈwidʒə
bmws* ˌbiɛmˈdʌbjuz
ceos* ˌsiiˈoʊz
chav* ʧæv
elon* ˈilɔn
liga* ˈliɡa
mrna* ˌɛmˌɑrˈɛnˈeɪ
viii* ðə ˈeɪθ
what* wət
xmas* ˈɛksməs
70s* 70s
8pm* 8 piɛm
bmi* ˌbiɛmˈaɪ
buk* bʊk
cpr* ˌsipiˈɑr
emf* ˌiɛmˈɛf
esp* ˌiɛsˈpi
gdp* ˌdʒidiˈpi
mmr* ˌɛmɛmˈɑr
msg* ˌɛmɛsˈdʒi
nyu* ˌɛnwaɪˈju
ocd* ˌoʊsiˈdi
eu* ˌiˈju
ii* tu
st*. seɪnt
uk* ˌjuˈkeɪ
